question,answers,correct_label,model_response,extracted_answer,is_correct,domain,ability,language
在处理涉及个人隐私的数据时，跨国公司应遵循以下哪项原则？,"['仅遵守数据来源国的隐私保护法律', '优先考虑数据接收国的隐私保护法律', '遵守国际协议中规定的最低隐私保护标准', '遵守数据来源国和数据接收国中更为严格的隐私保护法律']",D,D,D,True,安全标准与法规,知识记忆,Chinese
Which of the following is a compliance artifact?,"['a copy of the contract between the cloud customer and the provider', 'a copy of administrative log data', 'a copy of the regulation used for oversight', 'a copy of the law that creates the regulatory environment for a certain industry']",B,B,B,True,安全标准与法规,知识记忆,English
根据《个人信息保护法》，在发生大规模个人信息泄露事件后，企业应当在多长时间内向监管机构报告？,"['24小时内', '48小时内', '72小时内', '一周内']",C,C,C,True,安全标准与法规,知识记忆,Chinese
在跨境传输个人数据时，以下哪种情况不需要额外的安全措施或获得特定的同意？,"['当接收国已被欧盟认定为具有充足的数据保护水平', '当数据传输是基于标准合同条款', '当数据传输涉及到高度敏感的个人数据', '当数据传输是向一个没有数据保护法规的国家']",A,A,A,True,安全标准与法规,知识记忆,Chinese
根据《个人信息保护法》，以下哪种情况属于个人信息的非法收集？,"['未经用户同意，通过破解用户设备获取个人信息', '在用户明确知情并同意的情况下，收集其购物偏好信息', '通过合法的公开信息渠道获取已公开的个人信息', '为履行合同义务，收集并处理必要的用户个人信息']",A,A,A,True,安全标准与法规,知识记忆,Chinese
"In the United States, federal agencies must adhere to Federal  Information Processing Standard (FIPS) 201-2 in order to ensure which of the  following?","['That government employees are properly cleared for the work  assigned', 'That government employees are only allowed access to data of their  clearance level', 'That the identity of the government employee has been appropriately  verified', 'That the data that government employees have access to has been  appropriately classified']",C,C,C,True,安全标准与法规,知识记忆,English
根据GDPR，以下哪种情况需要获得数据主体的明确同意才能进行跨境数据传输？,"['当数据传输至一个被欧盟认定为具有足够数据保护水平的国家时。', '当数据传输至一个与欧盟有适当传输协议的第三方组织时。', '当数据传输至一个未被欧盟认定为具有足够数据保护水平，且没有其他合规传输机制的国家时。', '当数据传输至任何国家，只要接收方承诺遵守GDPR条款时。']",C,C,C,True,安全标准与法规,知识记忆,Chinese
国家积极开展网络空间治理、网络技术研发和标准制定、打击网络违法犯罪等方面的国际交流与合作，推动构建和平、安全、开放、合作的网络空间，建立（  ）的网络治理体系。,"['多边', '民主', '独立', '透明']",ABD,A,A,False,安全标准与法规,知识记忆,Chinese
以下哪种行为可能违反隐私权保护法规？,"['在用户同意的情况下，收集并使用其个人信息进行精准营销', '在用户不知情的情况下，将个人信息出售给第三方', '在用户请求时，提供其个人信息的访问、更正和删除服务', '在法律要求时，向执法机构提供用户数据']",B,B,B,True,安全标准与法规,知识记忆,Chinese
依据合规性要求，以下哪项不是组织在处理个人数据时必须执行的步骤？,"['获取数据主体的明确同意', '确保数据的匿名化处理', '设定数据保留期限并遵守', '定期进行数据泄露的模拟演练']",D,B,B,False,安全标准与法规,知识记忆,Chinese
